ISBN,Book-Title,Book-Author,Year-Of-Publication
0028622480,"""The First-Book Market: Where and How to Publish Your First Book and Make It a Success""","""Jason Shinder""","""1998"""
1583142355,"""Princess Sister""","""Sheila Copeland""","""2002"""
0312270380,"""Let's Go 2002: Greece (Let's Go. Greece)""","""Erzulie Coquillion""","""2001"""
3446192654,"""Theos Reise. Roman Ã?Â¼ber die Religionen der Welt.""","""Catherine Clement""","""1998"""
0571148956,"""Cat's Whisker""","""Philip Gross""","""1987"""
3518369415,"""Die Astronauten.""","""Stanislaw Lem""","""2001"""
034056332X,"""Aromatherapy: a Definitive Guide to Essential Oils""","""Lisa Chidell""","""1992"""
0938077511,"""The Diamond That Cuts Through Illusion: Commentaries on the Prajnaparamita Diamond Sutra""","""Thich Nhat Hanh""","""1992"""
0671679805,"""MASKS STAR TREK THE NEXT GENERATION #7 (Star Trek Next Generation (Numbered))""","""John Vornholt""","""1989"""
080706341X,"""Staying Put : Making a Home in a Restless World""","""Scott Russell Sanders""","""1994"""
0907179428,"""Serious Pleasure""","""Sheba Collective""","""0"""
0895294915,"""Cancer and Nutrition: A Ten-Point Plan to Reduce Your Risk of Getting Cancer (Simone Health Series)""","""Charles Simone""","""1992"""
0842023941,"""Wilsonian Statecraft: Theory and Practice of Liberal Internationalism (America in the Modern World)""","""Lloyd E. Ambrosius""","""1991"""
0743407865,"""Brave New Girl""","""Louisa Luna""","""2001"""
0820319619,"""Portrait of an Island""","""Mildred Teal""","""1997"""
1557489912,"""Heartbreak Trail (Lovesong)""","""Vera Lee Wiggins""","""1997"""
0373630336,"""Dividend on Death""","""Brett Halliday""","""1982"""
0446605778,"""Night of Broken Souls""","""Thomas F. Monteleone""","""1998"""
0451404556,"""The Warfield Bride""","""Bronwyn Williams""","""1994"""
0394588215,"""The Golden Rope""","""Susan Fromberg Schaeffer""","""1996"""
0195016459,"""American urban history",": An interpretive reader with commentaries""","""Alexander B Callow"""
0812564650,"""To The Last Man : A Story of the Pleasant Valley War""","""Zane Grey""","""2000"""
0385468555,"""Talk Dirty to Me: An Intimate Philosophy of Sex""","""Sallie Tisdale""","""1995"""
0816743282,"""Haunted Baby-Sitters: True Ghost Stories (True Ghost Stories)""","""Allan Zullo""","""1997"""
0812500385,"""Systemic Shock""","""Dean Ing""","""1992"""
0689804598,"""Twisted Summer""","""Willo Davis Roberts""","""1996"""
0755301145,"""The Eagle and the Wolves""","""Simon Scarrow""","""0"""
0380780437,"""Only Child (An Avon Flare Book)""","""Jesse Osburn""","""1996"""
1564586480,"""Ultimate Visual Dictionary (Ultimate Visual Dictionary)""","""Dorling Kindersley Publishing""","""1994"""
0380775220,"""Flirting with Death (Peggy O'Neill Mystery)""","""M. D. Lake""","""1996"""
0679783385,"""The Scarlet Letter (Modern Library Classics)""","""Nathaniel Hawthorne""","""2000"""
0761524851,"""Black &amp"," White: Prima's Official Strategy Guide""","""DEAN EVANS"""
0812512960,"""Conjure Wife/Our Lady of Darkness (2 Books in One)""","""Fritz Leiber""","""1993"""
0553120832,"""Copsi Castle""","""Juliet Astley""","""1979"""
0586203958,"""Taj""","""Colin De Silva""","""1990"""
3499232871,"""Herzsprung""","""Ildiko Kurthy""","""2003"""
0446377651,"""Side Tracked Home Executives""","""Pam Young""","""1983"""
157101022X,"""Why Men Marry: Insights from Marrying Men""","""A.T Langford""","""1995"""
0310286905,"""God with us: The miracle of Christmas""","""John MacArthur""","""1989"""
0787105309,"""The Kid Stays in the Picture""","""Robert Evans""","""1995"""
0393030377,"""The Money Culture""","""Michael Lewis""","""1991"""
0738857009,"""The Seer from the Stars""","""Jonathan Robert Gravish""","""2000"""
2702133355,"""Le Jardin de cristal""","""Mohsen Makhmalbaf""","""2002"""
0345306678,"""Night Has A Thousand Eyes""","""Cornell Woolrich""","""1989"""
1590522419,"""Face the Music: A Novel (Diary of a Teenage Girl)""","""Melody Carlson""","""2004"""
0141439610,"""The Woman in White (Penguin Classics)""","""Wilkie Collins""","""2003"""
0803258836,"""The Buffalo Hunters: The Story of the Hide Men""","""Mari Sandoz""","""1978"""
0670835609,"""High Hopes""","""Ursula Dubosarsky""","""1991"""
0061098760,"""Law of Gravity""","""Stephen Horn""","""2003"""
0684841177,"""Deja Dead""","""Kathy Reichs""","""1997"""
0340533781,"""Strange loyalties""","""William McIlvanney""","""1991"""
0689835248,"""Zin! Zin! Zin! A Violin (Aladdin Picture Books)""","""Lloyd Moss""","""2000"""
0810928698,"""Vampires : Restless Creatures of the Night (Discoveries)""","""Jean Mariony""","""1994"""
0786866764,"""The Temple of Optimism""","""James Fleming""","""2000"""
3442438918,"""Dschingis Khans Tochter. Ein Bella- Block- Roman.""","""Doris Gercke""","""1998"""
0446390240,"""Getting Unstuck : Breaking Through Your Barriers to Change""","""Dr. Sidney B. Simon""","""1989"""
0590431986,"""The Moves Make the Man""","""Bruce Brooks""","""1994"""
1411603869,"""Roland""","""Ben Jonjak""","""2004"""
0553024248,"""The great train robbery""","""Michael Crichton""","""1976"""
1891620991,"""Passing: When People Can't Be Who They Are""","""Brooke Kroeger""","""2003"""
0809244195,"""Sumptuous Sauces in the Microwave""","""Patricia Tennison""","""1989"""
0896930807,"""Know Why You Believe""","""Paul E. Little""","""1984"""
1562762680,"""How to Use Windows 95""","""Douglas Hergert""","""1995"""
0877850836,"""The Spiritual Life/The Word of God""","""Emanuel Swedenborg""","""1911"""
0312925581,"""James Herriot's Dog Stories""","""James Herriot""","""1993"""
0679735909,"""Possession : A Romance""","""A.S. BYATT""","""1991"""
0393050971,"""The Soul of Money: Transforming Your Relationship with Money and Life""","""Lynne Twist""","""2003"""
082174500X,"""Gunpowder Legacy""","""Doyle Trent""","""1994"""
0553107224,"""In Search of Extraterrestrials""","""Landsburg""","""1976"""
0671740091,"""DON'T SAY A WORD""","""Andrew Klavan""","""1992"""
0028461800,"""DIALOGUE CONCERNING NATURAL RELIGION (Hafner Library of Classics)""","""David Hume""","""1970"""
0136372325,"""Open Door to French""","""Margarita Madrigal""","""1963"""
1559705078,"""Cambodia : A Report From a Stricken Land""","""Henry Kamm""","""1999"""
0394508432,"""Smiley's People""","""John Le Carre""","""1979"""
0671019775,"""RED CELL ROGUE WARRIOR PROMOTION""","""Richard Marcinko""","""1998"""
1556231490,"""Who Killed John Maynard Keynes: Conflicts in the Evolution of Economic Policy""","""W. Carl Biven""","""1989"""
0895773376,"""The song of Hiawatha and other poems (The World's best reading)""","""Henry Wadsworth Longfellow""","""1989"""
0671523627,"""MEDICAL CTR MURDR (A Whodunit? Mystery Vol 2)""","""Lisa Drake""","""1984"""
0451136403,"""Modigliani Scandal""","""Ken Follett""","""1985"""
0812522397,"""Children of the Mind (Ender Wiggins Saga (Paperback))""","""Orson Scott Card""","""1997"""
0061080829,"""The Anxious Heart (Harper Monogram)""","""Denise Robertson""","""1993"""
9531530319,"""Gdje pijevac ne pjeva (Biblioteka \""Zlatni paun\"")""","""Ivan Aralica""","""1996"""
0520058763,"""The Making of Citizen Kane""","""Robert Carringer""","""1986"""
1860198023,"""Encyclopedia of Dinosaurs""","""David Lambert""","""0"""
0002172739,"""Bonnie Sterns Cuisinart Cookbook""","""Bonnie Stern""","""1985"""
0822013614,"""Walden Two (Cliffs Notes)""","""Cynthia C. McGowan""","""1987"""
0934342040,"""Half Square Triangles""","""Barbara Johannah""","""1991"""
0140350764,"""Kim (Puffin Classics)""","""Rudyard Kipling""","""1987"""
3404130197,"""Der lange Weg der Sternenfahrer.""","""Marion Zimmer Bradley""","""1985"""
0140802363,"""The Complete English Poems (Penguin English Poets)""","""John Donne""","""1971"""
044022957X,"""Girls in Love""","""Jacqueline Wilson""","""2002"""
0786882344,"""Welcome to Sarajevo: Natasha's Story""","""Michael Nicholson""","""1997"""
0471309826,"""The UNIX and X Command Compendium: A Dictionary for High-Level Computing""","""Alan  Southerton""","""1994"""
0917201655,"""Asterix and the Great Crossing (Adventures of Asterix)""","""Rene de Goscinny""","""1994"""
0515121886,"""Love Heals All""","""Leslie Brannen""","""1997"""
0373764847,"""Beckett's Convenient Bride  (Beckett's Fortune)""","""Dixie Browning""","""2003"""
0312303068,"""Rising""","""Darnella Ford""","""2002"""
0778320081,"""Liar's Market (Mira)""","""Taylor Smith""","""2004"""
0060928034,"""Unlocking the Air : Stories""","""Ursula K. Le Guin""","""1997"""
0891076182,"""Prophet""","""Frank E. Peretti""","""1992"""
0451183460,"""The Medical Book of Remedies: 50 Ways to Lower Your Fat &amp"," Cholesterol""","""Roberta Larson Duyff"""
0590424998,"""Baby-Sitters Winter Vacation (Baby-Sitters Club Super Special)""","""Ann Matthews Martin""","""1989"""
0840771835,"""The Smoke of a Thousand Villages...and Other Stories of Real Life Heroes of the Faith""","""David Shibley""","""1989"""
067944646X,"""The Quick and the Dead""","""Joy Williams""","""2000"""
0500300399,"""The Story of Fossils: In Search of the Vanished Worlds (New Horizons)""","""Yvette Gayrard-Valy""","""1994"""
2070366863,"""Armance""","""Stendhal""","""1992"""
0486415899,"""Tess of the D'Urbervilles (Dover Thrift Editions)""","""Thomas Hardy""","""2001"""
8423315371,"""Balada de Cain (ColecciÃ³n Ancora y delfÃ­n)""","""Manuel Vicent""","""1996"""
0449214575,"""The Taming of Annabelle""","""Marion Chesney""","""1987"""
0764500449,"""Perl 5 for Dummies""","""Paul Hoffman""","""1997"""
0500203210,"""Twentieth-Century Fashion""","""Valerie Mendes""","""1999"""
0785267247,"""Courtship After Marriage Romance Can Last A Lifetime""","""Zig Ziglar""","""2001"""
0688518109,"""Disguises You Can Make""","""Eve Barwell""","""1977"""
0812508645,"""Pastwatch: The Redemption of Christopher Columbus""","""Orson Scott Card""","""1997"""
0673521036,"""Writing and Reading Across the Curriculum""","""Laurence Behrens""","""1991"""
0764224808,"""Cross My Heart (Hidden Diary)""","""Sandra Byrd""","""2001"""
0395253993,"""The Consul's File""","""Paul Theroux""","""1977"""
0899197019,"""Mary Wore Her Red Dress and Henry Wore His Green Sneakers""","""Merle Peek""","""1988"""
0425108872,"""The World's Most Infamous Murders""","""Roger Boar""","""1988"""
0312308175,"""True Witness""","""Jo Bannister""","""2002"""
0441142141,"""Death Tolls""","""John E. Stith""","""1987"""
3886791742,"""Die Comedian Harmonists: Sechs LebenslÃ¤ufe""","""Eberhard Fechner""","""1988"""
0380974827,"""Erma Bombeck: A Life in Humor""","""Susan Edwards""","""1997"""
0140264132,"""Sea Change: Alone Across the Atlantic in a Wooden Boat""","""Peter Nichols""","""1998"""
2207305147,"""Guerre de rien""","""Jacques BarbÃ?Â©ri""","""1990"""
0425192725,"""Q Is for Quarry""","""Sue Grafton""","""2003"""
0471177091,"""Technostress""","""Michelle M. Weil""","""1997"""
0821737996,"""Blood Bond: Devil Creek Crossfire""","""William W. Johnstone""","""1992"""
351827824X,"""Anti- Ã?Â?dipus. ( Kapitalismus und Schizophrenie I).""","""Gilles Deleuze""","""1977"""
0684808528,"""Chief Justice: A Biography of Earl Warren""","""Ed Cray""","""1997"""
0812541561,"""Moby Dick: Or the Whale""","""Herman Melville""","""1998"""
022403054X,"""Miracles in America""","""Sheila Kohler""","""1991"""
3442439191,"""Freispruch fÃ?Â¼r einen MÃ?Â¶rder.""","""Lisa Scottoline""","""2000"""
0140430938,"""English Mystery Plays: A Selection (The Penguin English Library "," El93)""","""Peter Happe"""
0373218109,"""Lakota Legacy""","""Madeline Baker""","""2003"""
1579543383,"""Divine Interventions : True Stories of Mystery and Miracles That Change Lives""","""Dan Millman""","""2000"""
073942954X,"""A Name of Her Own (The Tender Ties Historical Series)""","""Jane Kirkpatrick""","""2002"""
0061011002,"""A Time to Love""","""Barbara Delinsky""","""1996"""
0061056049,"""Hedge of Mist""","""Patricia Kennealy-Morrison""","""1997"""
0553137336,"""Bright Arrows No. 2""","""Grace Livingston Hill""","""1980"""
0515118907,"""The Man Who Cast Two Shadows (Kathleen Mallory Novels (Paperback))""","""Carol O'Connell""","""1996"""
848460229X,"""Con Buena Letra: Todas Las Canciones De Joaquin Sabina""","""Joaquin Sabina""","""2002"""
0849942926,"""Thunder of Heaven""","""Ted Dekker""","""2002"""
0380871556,"""A Gentle Feuding""","""Johanna Lindsey""","""1984"""
067124700X,"""YOU DNT HV WHO WHO""","""Sam Levenson""","""1979"""
0060201436,"""Sounder""","""William H. Armstrong""","""1969"""
031228232X,"""Catching Water in a Net""","""J. L. Abramo""","""2001"""
0722536305,"""Hayfever: How to Beat Hayfever-Permanently (Thorsons Health)""","""Mark Payne""","""1998"""
1881164098,"""Dekok and the Dying Stroller""","""Albert Cornelis Baantjer""","""1994"""
039450920X,"""Freddy's Book""","""John Champlin Gardner""","""1980"""
0226644308,"""Into Africa: With a New Postscript""","""Craig Packer""","""1996"""
0590411713,"""Walt Disney's Classic Cinderella""","""Jan Carr""","""1987"""
0821756052,"""Fire Raven""","""Patricia McAllister""","""1997"""
0375713344,"""Geek Love""","""Katherine Dunn""","""2002"""
0842355251,"""A Rift in Time (Rift in Time #1)""","""Michael Phillips""","""1997"""
0802774733,"""Headaches: 47 Ways to Stop the Pain (A People's Medical Society Book)""","""Charles B. Inlander""","""1995"""
0870332600,"""Coastwise navigation""","""Frances Woodworth Wright""","""1980"""
0802116272,"""The Undiscovered Country""","""Samantha Gillison""","""1998"""
081440765X,"""Delivering Knock Your Socks Off Service""","""Ron Zemke""","""2002"""
0316693286,"""Pop Goes the Weasel""","""James Patterson""","""1999"""
3821815213,"""Lexikon merkwÃ?Â¼rdiger Todesarten.""","""Katja Doubek""","""2001"""
0316292613,"""Franklin D. Roosevelt : A Rendezvous with Destiny""","""Frank Freidel""","""1991"""
0394713389,"""The False Inspector Dew""","""Peter Lovesey""","""1983"""
9724119378,"""O Deus Das Pequenas Coisas""","""Roy""","""1998"""
0312872011,"""Mars Crossing""","""Geoffrey A. Landis""","""2000"""
0140065520,"""Blood Brotherhood""","""Robert Barnard""","""1992"""
0345302583,"""Star Bridge""","""Jack Williamson""","""1982"""
0618260307,"""The Hobbit: Or There and Back Again""","""J. R. R. Tolkien""","""2002"""
3446191011,"""Im Dunkeln lesen.""","""Seamus Deane""","""1997"""
1567188079,"""Elemental Power: Celtic Faerie Craft &amp"," Druidic Magic (Llewellyn's Celtic Wisdom)""","""Amber Wolfe"""
0373094582,"""Summer Shadows""","""Pat Warren""","""1988"""
8817106100,"""Oceano Mare""","""Alessandro Baricco""","""0"""
0553051008,"""The Quest for the Presidency 1984""","""Peter Goldman""","""1985"""
0395964644,"""Birds of North America (Kaufman Focus Guides)""","""Kenn Kaufman""","""2000"""
0821719688,"""Terminal""","""Colin Forbes""","""1987"""
0679784063,"""Cracking the Gre Psychology Test (4th ed)""","""Laurice Pearson""","""1997"""
8478082441,"""La abundancia a travÃ©s del reiki""","""Paula Horan""","""2001"""
0770418627,"""Victims: Orphans/""","""Jerry Amernic""","""1984"""
0449209563,"""Monsieur Pamplemousse""","""Michael Bond""","""1991"""
0439064872,"""Harry Potter and the Chamber of Secrets (Book 2)""","""J. K. Rowling""","""2000"""
0451208552,"""Shop Till You Drop""","""Elaine Viets""","""2003"""
0786712074,"""As Far as My Feet Will Carry Me: The Extraordinary True Story of One Man's Escape from a Siberian Labour Camp and His 3-Year Trek to Freedom""","""Josef Martin Bauer""","""2003"""
0843944447,"""Medicine Wheel""","""Les Savage""","""1998"""
3570123065,"""Unser Jahrhundert: Deutsche Schicksalstage""","""Guido Knopp""","""1998"""
1883642337,"""Mister Sandman: A Novel""","""Barbara Gowdy""","""1997"""
0816152187,"""Let Sleeping Vets Lie (G K Hall Large Print Book Series)""","""James Herriot""","""1992"""
0375415343,"""A Whistling Woman""","""A.S. BYATT""","""2002"""
842720261X,"""El Pudding de Navidad""","""Agatha Christie""","""1987"""
019283519X,"""The Hound of the Baskervilles: Another Adventure of Sherlock Holmes (Oxford World's Classics)""","""Arthur Conan Doyle""","""1998"""
0452006597,"""Selected Poetry and Prose of Shelley""","""Mary Shelley""","""1983"""
1572242558,"""The 50 Best Ways to Simplify Your Life: Proven Techniques for Achieving Lasting Balance""","""Patrick Fanning""","""2001"""
014044114X,"""Confessions (Classics S.)""","""St. Augustine""","""1961"""
0553212583,"""Wuthering Heights""","""EMILY BRONTE""","""1983"""
0440295823,"""Purple Cane Road""","""James Lee Burke""","""2000"""
0395616239,"""The Island on Bird Street""","""Uri Orlev""","""1992"""
0553280384,"""The Greatest Secret in the World""","""OG MANDINO""","""1997"""
3822504750,"""Die Geisel. Eine GefÃ?Â¤ngnisdirektorin in der Gewalt des HÃ?Â¤ftlings H. M.""","""Katharina Bennefeld-Kersten""","""1998"""
0671021354,"""Child of the Hunt (Buffy the Vampire Slayer)""","""Christopher Golden""","""1998"""
0397321651,"""The Secret Garden""","""Frances Hodgson Burnett""","""1998"""
0553560239,"""The Hot House : Life Inside Leavenworth Prison""","""PETE EARLEY""","""1993"""
0451205782,"""Punk's War""","""Ward Carroll""","""2002"""
0451075226,"""Watsons""","""Jane Austen""","""1977"""
0553152025,"""Tale/Peter Rabbit""","""Beatrix Potter""","""1984"""
0004109066,"""Spain: Welcome to Spain (Welcome Guides)""","""R. A. N. Dixon""","""1980"""
1570717451,"""The Other Adonis: A Novel of Reincarnation""","""Frank Deford""","""2001"""
0385334184,"""Paradise Park: A Novel""","""Allegra Goodman""","""2002"""
0345324927,"""Recipes for a Small Planet""","""Ellen B. Ewald""","""1983"""
0373703104,"""Moon Gate""","""Rosalind Carson""","""1988"""
0312868286,"""Dark Cities Underground""","""Lisa Goldstein""","""1999"""
0814478379,"""Balancing Work and Family (The Worksmart Series)""","""Ken Lizotte""","""1995"""
0060084065,"""The Hunted""","""Elmore Leonard""","""2003"""
0139536477,"""Webster's New World Spanish Dictionary: Spanish/English English/Spanish""","""Mike  Gonzalez""","""1992"""
0812055721,"""Once upon a Potty: Hers""","""Alona Frankel""","""1984"""
0553569171,"""Star Crossed""","""Susan Krinard""","""1995"""
0330345591,"""Last Orders""","""Graham Swift""","""0"""
0395285887,"""Lion of Ireland: The Legend of Brian Boru""","""Morgan Llywelyn""","""1980"""
0373484763,"""Silhouette Ncp - Volume 7 (Silhouette Special Releases Series)""","""Rebecca Brandewyne""","""2002"""
0843149027,"""Jay Jay Earns His Wings (Jay Jay the Jet Plane (Paperback))""","""Jodi Huelin""","""2002"""
3423205989,"""Die siebte SÃ?Â¼nde.""","""Kjersti Scheen""","""2003"""
0895298759,"""All About Vitamins (Freqently Asked Questions)""","""Jack Challem""","""1998"""
8434808188,"""Charcos En El Camino - B.V. 1 -""","""Alan Parker""","""1993"""
0922233209,"""Raw Deal: Horrible and Ironic Stories of Forgotten Americans""","""Ken Smith""","""1998"""
0785804668,"""Tart Tales""","""Carolyn Banks""","""1996"""
0670411140,"""Just relations""","""Rodney Hall""","""1983"""
8495501570,"""LA Amigdalitis De Tarzan""","""Alfredo Bryce Echenique""","""2003"""
0345305000,"""Best Man to Die""","""Ruth Rendell""","""1981"""
067173735X,"""Trumped!: The Inside Story of the Real Donald Trump-His Cunning Rise and Spectacular Fall""","""John R. O'Donnell""","""1991"""
0689115210,"""Runaway""","""Clarissa Watson""","""1985"""
3442452627,"""Amandas Hochzeit.""","""Jenny Colgan""","""2002"""
1558584676,"""The Owl and the Pussy-Cat: And Other Nonsense Poems""","""Edward Lear""","""1995"""
0689868456,"""Code Name Cassandra (1-800-Where-R-You)""","""Meg Cabot""","""2004"""
1569870241,"""My First Book of ABC Friends""","""Diane Stortz""","""1993"""
1579901751,"""Making Ceramic Sculpture: Techniques * Projects * Inspirations ( A Lark Ceramics Book)""","""Raul Acero""","""2000"""
0060522607,"""The Death of an Irish Lass (Peter McGarr Mysteries (Paperback))""","""Bartholomew Gill""","""2003"""
0812564545,"""A Mystery of Errors""","""Simon Hawke""","""2001"""
0380775891,"""Scandalous Suzanne""","""Glenda Sanders""","""1996"""
0586086455,"""The Siege: The Saga of Israel and Zionism""","""Conor Cruise O'Brien""","""1988"""
1585472190,"""The Spiral Path (Center Point Premier Plus)""","""Mary Jo Putney""","""2002"""
0380774437,"""Highland Jewel""","""Lois Greiman""","""1994"""
0533143187,"""Jury Trial""","""William Thomas Stevens""","""2003"""
0061012645,"""Redcoat""","""Bernard Cornwell""","""1998"""
2020054590,"""Le rÃ¨gne de barbarie: PoÃ¨mes (Fiction &amp", [i.e et] Cie ," 38)"""
0823416917,"""Hoop Girlz""","""Lucy Jane Bledsoe""","""2002"""
0449900568,"""Embrace &amp"," Conquer""","""Jennifer Blake"""
0140242058,"""Zlata's Diary: A Child's Life in Sarajevo""","""Zlata Filipovic""","""1995"""
1593140169,"""The Path: Crisis of Faith (The Path Traveler)""","""Ron Marz""","""2003"""
0689866208,"""Bad Girls In Love (Aladdin Fiction)""","""Cynthia Voigt""","""2004"""
0553277693,"""The Girl Who Wanted""","""Paul Zindel""","""1989"""
